First_pokemon_id,Type 1_first,Type 2_first,Second_pokemon_id,Type 1_second,Type 2_second,Height_diff,Weight_diff,Experience_diff,Total_stats_diff,Generation_diff,Legendary_diff,Winner
456,15,16,260,6,12,-2,356,-3,-15,2,0,260
424,10,12,754,4,12,27,9345,140,208,-3,1,424
258,11,14,779,8,9,0,-10,-1,-4,-4,0,258
360,10,12,208,9,12,-1,65,-91,-135,1,0,208
723,6,12,646,11,12,-3,-430,-98,-126,1,0,646
734,0,12,673,2,12,-7,-276,-69,-197,1,0,673
141,17,7,721,9,5,49,1450,-50,10,-5,0,141
244,11,7,741,9,12,0,-150,46,-20,-4,0,244
509,17,7,217,14,12,5,600,-49,9,2,0,509
633,1,12,44,6,12,5,612,2,5,4,0,633
595,5,12,719,9,12,10,780,164,192,-1,0,595
606,0,13,40,13,10,11,1385,-9,-20,4,0,606
368,12,12,598,17,10,-2,-217,-69,-51,-2,0,368
746,14,12,584,15,12,-1,-145,15,75,1,0,746
303,17,7,198,9,12,8,222,-67,-60,1,0,303
169,9,12,701,15,5,-1,-1595,-25,-55,-3,-1,701
569,1,12,115,5,12,-11,-397,-103,-174,4,0,115
231,0,15,172,6,12,-11,-590,-63,-29,0,0,172
71,14,12,440,17,12,7,250,83,95,-3,0,71
659,9,16,610,9,12,-5,25,-107,-175,0,0,610
570,1,12,557,9,12,-22,-255,-82,-82,0,0,557
451,3,12,352,17,12,-131,-3560,60,23,1,0,451
661,16,12,95,17,11,-14,-990,-106,-175,4,0,95
130,17,12,319,12,12,-2,-60,-58,-20,-2,0,130
579,12,7,612,10,1,-4,-131,-5,-28,0,0,612
376,10,14,37,13,10,-8,-385,-167,-205,2,0,37
343,0,12,159,6,7,-13,-423,-110,-180,2,-1,159
509,17,7,574,6,12,0,370,-105,-153,-1,0,574
486,16,14,229,0,16,-5,690,0,0,2,0,229
686,1,16,213,1,12,-5,-168,-116,-185,3,0,213
304,14,4,386,8,12,-2,43,-19,-97,0,0,386
514,3,16,732,6,7,0,1555,66,36,-2,0,732
161,2,12,757,1,14,36,130,89,132,-5,0,161
150,15,17,265,17,12,-16,-1795,-190,-225,-1,-1,265
436,6,12,701,15,5,-14,-2538,-199,-271,-1,-1,701
221,0,16,265,17,12,-8,-612,-98,-115,0,-1,265
436,6,12,603,0,9,-7,-143,-163,-191,-1,0,603
242,17,12,365,12,7,2,108,-2,-10,-1,0,242
792,7,2,251,10,12,10,515,121,205,4,0,792
607,9,4,295,17,9,-9,-319,-63,-60,2,0,607
439,17,12,209,0,7,-8,-328,-15,-76,2,0,209
657,0,3,360,10,12,-6,-144,6,29,2,0,657
436,6,12,40,13,10,-9,-558,-165,-196,3,0,40
325,12,12,408,2,12,-5,-995,-95,-160,0,0,408
472,12,12,89,3,16,9,143,104,157,3,0,472
71,14,12,777,2,12,-5,-1025,-45,-100,-5,0,71
47,13,7,615,6,12,2,-300,-14,-70,-4,0,47
5,6,12,670,8,6,0,-45,-68,-61,-4,0,5
793,4,12,314,12,12,10,845,54,10,3,1,314
493,2,10,568,12,12,2,-50,-81,-90,-1,0,493
400,11,17,341,3,12,7,834,2,5,0,0,341
541,16,2,446,12,17,44,6515,162,270,0,1,541
141,17,7,152,15,17,60,2235,118,185,0,0,141
54,0,13,115,5,12,-5,-198,-98,-150,0,0,115
378,15,9,161,2,12,-30,73,-76,-65,2,0,161
224,16,10,316,0,7,84,3880,19,54,-1,0,316
503,13,1,453,9,13,4,470,-57,-15,0,0,503
600,5,12,598,17,10,-1,-110,-66,-44,0,0,600
445,12,12,45,12,4,0,145,-45,-20,3,0,445
360,10,12,548,17,12,3,119,-158,-190,-1,0,548
303,17,7,133,0,7,-3,-280,54,-70,2,0,133
51,9,13,331,16,15,8,-414,155,160,-2,0,51
171,6,12,559,6,5,-1,-365,-4,-13,-3,0,171
758,1,14,129,17,12,2,80,11,32,5,0,758
6,6,12,255,12,12,-1,-390,54,155,-1,0,6
698,0,6,154,15,7,-7,-302,-108,-155,4,0,154
92,12,7,491,8,1,4,-688,-108,-175,-3,0,491
381,15,0,73,5,12,7,487,112,190,2,0,381
354,6,10,271,6,7,-19,210,-145,-220,1,-1,271
219,12,14,49,9,13,10,361,95,135,1,0,219
736,6,12,244,11,7,-3,-25,-42,39,4,0,244
683,2,12,245,17,7,-5,-810,0,20,3,0,245
200,17,4,588,14,7,-1,180,40,-5,-3,0,588
403,17,12,636,14,12,13,212,112,195,-2,0,403
56,10,12,561,17,12,-3,-51,-9,-43,-4,0,561
54,0,13,119,13,12,-2,205,-111,-185,0,0,119
629,15,7,141,17,7,-51,-2030,-12,27,4,0,629
547,14,12,779,8,9,11,786,208,291,-2,0,547
380,15,0,547,14,12,-8,-731,-199,-245,-1,0,547
153,15,17,559,6,5,3,-150,27,77,-4,0,153
306,14,4,268,15,1,-4,-1536,-37,-82,1,0,306
89,3,16,382,17,12,-3,-14,25,125,-2,0,89
54,0,13,32,3,12,2,0,-157,-180,0,0,32
172,6,12,745,12,12,5,515,75,62,-4,0,745
16,0,7,110,3,12,-1,-346,6,-85,0,0,110
278,6,5,94,17,12,-2,-705,77,80,2,0,278
342,3,12,643,17,7,-9,-200,-24,-68,-2,0,643
638,14,12,691,1,7,10,350,147,120,0,0,691
734,0,12,718,0,16,-12,-741,-195,-387,1,0,718
42,4,12,113,10,12,9,335,153,163,0,0,42
97,13,12,316,0,7,4,180,15,44,-2,0,97
416,11,12,397,11,12,3,-815,93,100,0,1,397
483,13,1,400,11,17,-7,-684,-78,-81,1,0,483
539,14,12,30,13,12,-32,-647,104,142,3,1,30
232,0,5,254,12,12,1,-172,12,35,0,0,254
496,12,12,420,2,14,-14,450,-192,-210,1,-1,496
268,15,1,159,6,7,0,1420,9,20,1,-1,159
473,8,7,593,5,12,-2,-113,9,43,-1,0,473
550,1,12,475,12,12,11,450,200,250,0,1,550
385,12,12,732,6,7,-2,-25,-21,-59,-3,0,732
30,13,12,587,14,7,31,629,92,125,-4,0,30
36,13,12,494,2,10,-11,-750,-142,-235,-3,0,494
513,1,11,184,13,7,-7,-410,-62,-25,2,0,184
129,17,12,106,14,12,-3,-366,-11,-33,0,0,129
6,6,12,604,0,13,7,137,90,145,-4,0,6
137,0,12,315,0,10,10,495,122,234,-2,0,137
83,15,10,509,17,7,4,2350,154,150,-3,0,509
743,5,12,57,10,12,-1,-253,-79,-57,5,0,57
220,0,12,723,6,12,-4,-73,-85,-119,-4,0,723
764,17,12,665,3,12,1,133,-42,95,1,0,764
708,2,3,439,17,12,25,3398,243,366,1,1,708
23,12,7,796,15,4,8,307,-54,-121,-5,-1,23
698,0,6,147,3,12,3,43,-112,-165,4,0,147
306,14,4,635,12,12,11,409,68,48,-2,0,635
158,3,7,666,3,12,-5,-279,29,65,-4,1,158
55,0,13,750,16,8,7,80,1,2,-5,0,750
513,1,11,439,17,12,7,288,116,196,0,0,513
769,15,11,264,6,12,-8,-1728,-189,-218,4,-1,264
23,12,7,623,14,7,1,255,44,-11,-4,0,23
97,13,12,250,17,2,-6,-1220,-68,-40,-1,0,250
324,15,12,544,12,12,-27,-3230,-227,-295,-1,-1,544
517,9,12,10,17,12,15,1196,124,221,3,0,517
779,8,9,349,17,1,-14,-818,-99,-151,3,0,349
669,8,6,226,4,12,-3,-47,-5,-25,3,0,226
623,14,7,53,0,9,4,-155,30,85,4,0,623
538,14,12,718,0,16,-12,-822,-9,-20,-1,1,718
438,6,5,242,17,12,6,430,180,234,2,0,438
523,11,12,759,15,17,3,-51,123,219,-2,0,523
378,15,9,152,15,17,5,123,0,0,2,0,152
478,8,12,361,10,2,-2,-109,54,155,1,0,478
137,0,12,698,0,6,4,262,103,140,-4,0,137
354,6,10,739,4,12,17,2191,31,89,-3,0,739
291,0,7,605,0,13,-2,-301,52,35,-2,0,291
96,13,12,264,6,12,-12,-1680,-196,-255,-1,-1,264
730,12,7,137,0,12,-12,-533,-119,-222,5,0,137
129,17,12,744,5,1,-8,-970,-15,-45,-5,0,129
58,12,12,560,6,5,-12,-1458,-180,-238,-4,0,560
658,0,3,146,17,12,-2,-147,-19,-53,4,0,658
625,8,12,753,4,12,15,760,101,142,-1,0,625
524,10,7,27,12,7,17,405,127,248,3,0,524
794,1,7,474,8,7,46,1880,132,182,2,1,794
365,12,7,391,9,7,-16,-988,-99,-150,0,0,391
526,12,12,424,10,12,-26,-9160,-61,-135,1,-1,424
70,14,12,456,15,16,8,-5,70,50,-3,0,70
540,14,12,288,12,12,-2,-322,114,160,1,1,540
347,13,12,389,8,12,9,650,104,172,0,0,347
689,12,7,128,17,12,-1,-45,6,30,4,0,128
211,17,10,701,15,5,-5,-1850,-110,-150,-3,-1,701
336,5,14,385,12,12,3,95,-10,-30,0,0,336
594,5,12,80,17,13,-4,-150,-38,-110,4,0,80
27,12,7,731,6,7,-4,-140,-82,-120,-5,0,731
578,14,12,768,15,2,-14,-2095,-12,-34,-1,0,768
257,5,12,221,0,16,2,-778,-4,-10,0,0,257
308,0,17,544,12,12,-32,-4183,-248,-401,-1,-1,544
213,1,12,442,12,7,7,250,135,280,-2,0,213
575,17,12,302,17,7,0,40,9,46,2,0,302
209,0,7,645,11,12,1,-30,-60,-5,-3,0,209
92,12,7,768,15,2,-11,-2308,-120,-211,-5,0,92
116,5,12,672,2,12,8,322,95,135,-4,0,116
568,12,12,396,11,12,5,442,165,200,2,0,568
644,11,12,218,14,12,-9,-228,-81,-100,3,0,644
321,5,12,163,14,12,-10,-356,-259,-443,2,-1,163
51,9,13,57,10,12,5,-147,72,85,0,0,51
237,6,12,448,0,12,-3,95,-84,-134,-2,0,448
580,12,7,676,11,12,-20,-2450,-52,-127,0,0,580
789,11,12,726,17,12,4,886,-81,-101,0,0,726
420,2,14,718,0,16,5,-225,0,0,-2,1,420
526,12,12,159,6,7,-11,-260,-20,-45,3,-1,159
115,5,12,56,10,12,13,490,106,190,0,0,56
358,14,12,636,14,12,5,657,107,180,-2,0,358
54,0,13,532,3,8,7,297,-93,-135,-3,0,532
768,15,2,179,12,7,9,2292,24,79,4,0,768
94,17,12,724,6,14,-4,510,-175,-209,-5,0,724
305,14,4,251,10,12,3,-133,31,-52,1,0,305
593,5,12,733,0,12,3,100,21,105,-1,0,733
568,12,12,428,16,14,9,599,-45,-100,2,-1,428
290,0,12,287,12,12,2,-75,16,-35,0,0,287
762,13,2,733,0,12,15,790,133,294,0,0,762
217,14,12,100,8,13,-8,49,56,26,1,0,100
668,14,12,87,17,14,-6,-440,-2,-5,4,0,668
123,9,12,771,4,12,0,115,-97,-90,-5,0,771
261,12,12,154,15,7,-6,165,-8,-25,1,0,154
106,14,12,505,13,5,3,312,-3,-7,-3,0,505
453,9,13,614,10,1,-6,-818,-2,-4,-1,0,614
107,17,12,48,13,7,-12,-485,-94,-130,0,0,48
722,6,12,590,10,16,-3,-310,-117,-201,1,0,590
141,17,7,727,17,1,50,1950,-50,10,-5,0,727
490,12,7,239,11,10,1,-46,94,161,2,0,490
373,17,10,128,17,12,3,86,100,148,2,0,128
3,9,13,730,12,7,17,983,180,247,-5,0,3
724,6,14,2,9,13,5,260,98,129,5,0,724
250,17,2,357,14,12,11,1214,177,210,-1,0,250
366,2,7,371,15,14,-1,-1334,11,50,0,0,366
358,14,12,765,3,12,4,655,107,181,-3,0,358
198,9,12,110,3,12,-8,-608,49,10,1,0,198
152,15,17,760,15,17,-8,-845,-104,-145,-5,0,760
174,17,12,646,11,12,-2,-325,-99,-130,-3,0,646
438,6,5,59,12,12,2,230,86,94,3,0,59
614,10,1,443,12,7,9,808,115,179,1,0,614
789,11,12,127,17,12,-2,745,-93,-136,5,0,127
565,12,12,214,1,7,6,249,66,15,3,0,214
158,3,7,635,12,12,11,451,96,110,-4,1,635
386,8,12,21,12,7,3,5,9,44,2,0,21
408,2,12,404,17,12,-7,879,-23,-65,0,0,404
349,17,1,440,17,12,10,658,19,55,-1,0,349
83,15,10,569,1,12,10,2899,167,214,-4,0,569
173,17,12,609,9,12,1,29,7,34,-3,0,173
770,15,11,572,9,12,16,1945,-70,23,1,0,572
51,9,13,473,8,7,8,174,151,142,-3,0,473
452,9,13,106,14,12,-14,-744,-113,-203,3,0,106
550,1,12,769,15,11,2,253,198,238,-2,1,550
525,11,10,740,4,12,14,2810,-9,-22,-2,0,525
464,0,7,762,13,2,-6,-430,-7,-20,-2,0,762
572,9,12,45,12,4,6,250,79,228,4,0,572
569,1,12,741,9,12,-5,-209,-14,-69,-1,0,569
193,14,7,28,12,7,3,-230,10,28,1,0,28
247,1,6,445,12,12,1,-92,16,80,-2,0,247
435,9,10,44,6,12,11,2901,59,20,3,0,44
794,1,7,359,12,12,47,1980,180,320,3,1,794
196,3,12,758,1,14,-1,145,61,28,-4,0,758
451,3,12,790,11,12,-6,-4630,55,9,-2,0,451
211,17,10,442,12,7,11,730,102,185,-2,0,442
773,3,4,582,3,12,-6,-276,92,136,1,0,773
403,17,12,59,12,12,7,-50,16,45,2,0,59
401,11,17,413,16,14,-2,-3994,-31,-70,0,0,413
228,17,13,679,0,12,-3,-214,-85,-65,-3,0,679
753,4,12,196,3,12,-12,-610,-162,-169,4,0,196
578,14,12,434,9,12,0,-365,28,82,1,0,434
210,17,10,40,13,10,-10,-535,-185,-295,1,0,40
18,0,13,458,0,12,4,66,27,-19,-3,0,458
538,14,12,742,9,12,-14,-907,75,49,-2,1,538
702,9,5,627,17,15,8,1190,88,85,0,1,702
403,17,12,412,16,14,5,-1755,23,65,0,0,403
517,9,12,136,6,12,7,841,14,40,3,0,136
465,3,12,89,3,16,1,-21,77,80,3,0,465
505,13,5,502,13,0,5,324,106,160,0,0,505
601,0,9,644,11,12,-1,-32,1,5,0,0,644
548,17,12,525,11,10,-21,-2879,-23,-50,0,0,525
707,2,6,521,0,7,13,2785,126,165,1,1,521
14,0,12,62,5,12,-2,-251,-22,-110,0,0,62
728,12,12,501,10,12,-16,-2950,-137,-288,2,0,728
182,0,13,246,16,7,-12,-420,-113,-215,0,0,246
741,9,12,117,12,12,-3,-345,-7,-35,5,0,741
719,9,12,574,6,12,-6,-190,-111,-185,1,0,574
492,2,10,37,13,10,-6,-395,-167,-205,3,0,37
539,14,12,153,15,17,-10,-402,88,85,3,1,153
152,15,17,159,6,7,-15,-485,-190,-225,0,-1,159
182,0,13,579,12,7,2,64,-3,-14,-3,0,579
69,14,12,302,17,7,3,100,8,40,-2,0,69
683,2,12,506,9,12,2,1120,11,31,1,0,683
2,9,13,619,0,15,7,-15,77,80,-4,0,2
735,0,7,255,12,12,0,-410,97,161,4,0,735
70,14,12,800,6,17,-4,-1385,-130,-200,-5,-1,70
120,10,15,67,17,12,0,950,-66,-40,0,0,67
68,17,5,397,11,12,-2,-2025,62,30,-2,0,397
577,14,12,58,12,12,2,191,0,2,4,0,58
750,16,8,29,13,12,-12,-24,99,160,5,0,29
391,9,7,640,14,12,14,920,31,90,-2,0,391
211,17,10,737,6,12,-1,-65,-26,-77,-4,0,211
462,0,7,694,0,16,6,-97,-21,-60,-1,0,694
615,6,12,652,9,13,4,365,4,21,0,0,615
247,1,6,594,5,12,-6,-292,-76,-75,-3,0,594
729,12,10,586,15,12,-7,-2176,-84,-92,1,0,586
516,10,15,740,4,12,13,2728,-7,-17,-2,0,516
440,17,12,525,11,10,-17,-2680,-97,-125,0,0,525
634,12,12,424,10,12,-31,-9442,-242,-370,2,-1,424
317,0,8,294,17,9,3,-14,39,16,0,0,317
463,0,7,790,11,12,-17,-4995,-131,-270,-2,0,790
770,15,11,7,6,7,10,1345,-136,-13,5,0,7
454,15,12,469,9,12,4,222,-88,-100,0,0,469
241,17,15,731,6,7,-1,-110,10,-2,-4,0,241
688,12,12,190,4,12,13,931,123,245,3,0,688
271,6,7,21,12,7,35,1972,256,429,1,1,271
476,12,12,223,10,7,1,-315,82,50,2,0,476
574,6,12,283,17,10,-5,-539,-67,-37,2,0,574
1,9,13,679,0,12,-1,-184,-109,-177,-4,0,679
595,5,12,131,17,14,3,70,45,-15,4,0,595
433,9,12,339,3,12,-11,-300,-102,-157,1,0,339
247,1,6,452,9,13,4,96,10,50,-2,0,247
453,9,13,29,13,12,-11,76,174,227,3,0,453
73,5,12,113,10,12,4,130,-3,-15,0,0,113
374,17,12,87,17,14,-10,-670,-110,-182,2,0,374
681,5,12,790,11,12,-11,-4850,-110,-164,-1,0,681
181,0,7,765,3,12,9,296,79,101,-4,0,181
584,15,12,498,5,16,-8,-360,-128,-245,1,0,498
586,15,12,590,10,16,10,2196,54,7,0,0,590
732,6,7,1,9,13,5,176,111,181,5,0,732
478,8,12,524,10,7,-11,-381,-6,-15,0,0,478
734,0,12,19,0,13,-7,-211,-103,-182,5,0,19
634,12,12,348,17,1,-4,-150,-1,-5,2,0,634
567,12,12,755,4,12,5,112,62,29,-1,0,567
354,6,10,82,15,10,9,1150,24,70,2,0,354
420,2,14,85,6,12,3,-350,95,100,2,1,420
610,9,12,215,17,14,-9,-632,-4,-10,3,0,610
122,12,12,588,14,7,2,241,246,25,-4,0,588
159,6,7,77,9,13,10,536,124,190,0,1,159
508,17,12,293,0,13,0,-76,-12,75,1,0,508
763,17,12,685,10,8,-23,-3217,-103,-153,1,0,685
428,16,14,203,9,7,-1,6,220,350,1,1,428
509,17,7,199,17,4,6,565,-19,95,2,0,509
310,9,12,48,13,7,-12,-505,-100,-160,2,0,48
80,17,13,314,12,12,-4,-755,-72,-155,-2,0,314
463,0,7,203,9,7,-1,50,-1,-6,2,0,463
700,16,5,49,9,13,16,2446,197,260,4,1,700
73,5,12,485,16,14,3,-410,1,5,-3,0,73
627,17,15,314,12,12,-8,-495,-79,-175,2,0,314
216,8,12,657,0,3,6,4,23,116,-3,0,216
632,1,12,707,2,6,-25,-3175,-240,-350,0,-1,707
692,1,7,331,16,15,8,-205,113,180,2,0,692
11,17,12,309,0,7,2,189,-17,-9,-2,0,309
483,13,1,22,12,7,-7,-108,-56,-20,3,0,483
665,3,12,170,6,12,7,141,80,96,3,0,170
39,13,12,299,9,1,-4,-401,-88,-115,-2,0,299
761,13,17,762,13,2,-13,-742,-109,-174,0,0,762
441,17,16,1,9,13,10,776,175,212,3,0,441
434,9,12,137,0,12,-4,420,-33,-95,3,0,137
700,16,5,433,9,12,17,2398,197,262,1,1,700
52,0,9,379,15,9,-12,-550,-116,-210,-2,0,379
158,3,7,171,6,12,7,336,119,175,-1,1,158
769,15,11,374,17,12,7,137,10,54,3,0,769
789,11,12,690,12,7,-5,585,-118,-206,1,0,690
393,1,12,255,12,12,0,-110,75,215,1,0,255
99,17,11,173,17,12,9,1230,121,211,-1,0,99
58,12,12,253,12,12,-2,-283,-122,-225,-1,0,58
226,4,12,289,0,12,3,42,4,105,-1,0,226
365,12,7,609,9,12,-1,-54,6,30,-2,0,365
409,2,7,532,3,8,12,1023,116,160,-1,0,409
647,12,9,294,17,9,1,169,23,115,2,0,647
15,0,12,756,4,12,-1,49,-96,-275,-5,0,756
196,3,12,774,15,4,11,558,130,10,-4,0,196
265,17,12,68,17,5,7,1330,31,70,1,1,265
564,12,12,749,16,8,-3,96,-14,-70,-1,0,749
750,16,8,248,1,6,-6,-305,-18,-52,4,0,248
454,15,12,302,17,7,3,220,16,80,1,0,302
323,12,4,574,6,12,-8,-260,-136,-308,-2,0,574
262,12,12,67,17,12,5,268,473,155,1,0,67
291,0,7,666,3,12,-11,-521,-54,-120,-2,0,291
126,17,12,494,2,10,-15,-870,-211,-305,-3,0,494
252,10,12,108,17,12,-2,600,9,25,1,0,108
69,14,12,212,14,12,0,-70,-122,-215,-1,0,212
120,10,15,342,3,12,6,1108,-73,-60,-2,0,120
224,16,10,173,17,12,86,3905,116,196,0,0,173
695,1,2,94,17,12,-3,-727,-5,-25,4,0,94
409,2,7,254,12,12,1,314,107,135,1,0,409
195,3,12,607,9,4,5,127,72,85,-3,0,607
127,17,12,81,15,10,8,50,94,140,0,0,127
698,0,6,336,5,14,-2,-27,-72,-50,2,0,336
409,2,7,376,10,14,10,811,210,300,0,0,409
582,3,12,424,10,12,-27,-9202,-243,-375,2,-1,424
521,0,7,268,15,1,-1,-1505,-90,-85,2,0,521
304,14,4,708,2,3,-25,-3384,-266,-482,-2,-1,708
385,12,12,492,2,10,3,15,94,140,-1,0,492
560,6,5,70,14,12,3,935,98,128,4,0,560
68,17,5,362,10,2,-7,-280,-4,-10,-2,0,362
672,2,12,732,6,7,-6,-65,-111,-179,-1,0,732
632,1,12,14,0,12,4,96,27,135,4,0,632
641,14,12,341,3,12,6,159,79,85,2,0,341
365,12,7,428,16,14,1,1,-208,-290,0,-1,428
764,17,12,529,15,16,-1,-3047,-84,-25,2,0,764
397,11,12,161,2,12,-25,2400,21,60,2,0,397
111,9,14,670,8,6,-2,-105,-65,-45,-4,0,670
408,2,12,647,12,9,5,910,80,85,-2,0,647
516,10,15,107,17,12,20,2763,176,210,3,0,107
622,1,5,736,6,12,5,165,97,119,-1,0,736
212,14,12,128,17,12,3,115,120,205,1,0,212
685,10,8,648,12,9,9,2375,3,8,0,0,648
406,17,12,420,2,14,-14,-513,-154,-270,0,-1,420
501,10,12,689,12,7,15,2895,114,175,-1,0,689
413,16,14,580,12,7,10,5350,145,242,-2,0,413
74,5,12,277,6,12,11,680,80,95,-2,0,277
376,10,14,196,3,12,-9,-400,-170,-210,1,0,196
292,0,12,510,9,11,-3,-390,5,-129,-1,0,510
282,17,10,186,17,3,-5,55,-19,-55,1,0,282
384,12,12,699,0,6,-13,-452,-101,-130,-2,0,699
295,17,9,741,9,12,3,15,49,-10,-3,0,741
346,13,12,790,11,12,-16,-4947,-120,-212,-3,0,346
45,12,4,323,12,4,3,35,57,80,-2,0,323
89,3,16,778,16,4,1,30,-100,-145,-5,0,778
151,15,17,238,6,15,2,-200,22,85,-1,0,151
774,15,4,667,14,12,-2,-33,33,165,1,0,774
266,15,10,301,12,7,-1,522,-99,-130,-1,0,301
602,0,9,375,17,1,-6,-255,-31,-88,2,0,375
31,3,12,490,12,7,-1,41,-32,-91,-3,0,490
92,12,7,182,0,13,9,307,12,60,-1,0,92
588,14,7,390,8,12,-7,-201,-10,-30,2,0,588
476,12,12,434,9,12,1,-637,26,75,0,0,476
360,10,12,426,2,7,-63,-1915,-248,-390,0,-1,426
101,8,13,21,12,7,13,-17,92,154,0,0,21
267,15,10,182,0,13,7,1435,94,160,0,0,267
10,17,12,17,0,13,2,58,24,119,0,0,17
244,11,7,177,12,12,-9,-165,-29,-85,0,0,177
209,0,7,465,3,12,8,341,-64,-15,-2,0,465
778,16,4,760,15,17,-11,-930,-10,-30,0,0,778
192,14,7,721,9,5,-14,-880,-175,-210,-4,0,192
555,9,12,443,12,7,0,-74,-57,-32,1,0,443
538,14,12,82,15,10,-7,-1047,124,190,3,1,538
123,9,12,434,9,12,-1,-620,-55,30,-3,0,123
597,17,10,627,17,15,-4,-640,-39,-111,0,0,597
409,2,7,56,10,12,13,1018,217,335,2,0,409
458,0,12,301,12,7,-5,-164,-114,-206,1,0,301
65,6,12,644,11,12,15,1493,133,250,-4,0,65
584,15,12,319,12,12,-6,-225,-70,-80,2,0,319
262,12,12,210,17,10,11,383,566,330,0,0,210
116,5,12,492,2,10,7,297,99,155,-3,0,116
75,5,12,480,12,12,11,1261,165,195,-3,0,480
750,16,8,656,17,12,-4,-271,-8,-22,1,0,656
453,9,13,174,17,12,-2,-105,90,110,2,0,453
375,17,1,509,17,7,1,-322,95,123,-1,0,375
791,7,2,203,9,7,1,75,-1,-5,4,0,791
480,12,12,541,16,2,-49,-6791,-244,-370,0,-1,541
385,12,12,157,11,7,-7,-334,-107,-140,2,-1,157
331,16,15,648,12,9,-15,-325,-100,-145,-2,0,648
566,12,12,34,10,12,-6,-254,-103,-175,4,0,34
86,17,14,502,13,0,4,240,-3,-15,-3,0,502
214,1,7,435,9,10,-17,-3079,-155,-120,-2,0,214
300,12,7,354,6,10,-16,-2177,-107,-190,0,0,300
438,6,5,630,13,12,6,240,174,205,-1,0,438
209,0,7,397,11,12,-3,-2185,-90,-90,-1,0,209
582,3,12,666,3,12,-13,-507,-173,-220,0,0,582
52,0,9,780,8,9,-12,-656,-109,-189,-5,0,780
492,2,10,417,16,12,-12,-1845,-201,-280,1,-1,417
519,6,12,581,12,7,4,390,23,52,-1,0,581
11,17,12,771,4,12,0,-10,-42,-120,-5,0,771
286,1,12,313,12,12,-4,-95,-7,-20,0,0,313
79,17,13,633,1,12,-7,-356,-112,-175,-4,0,633
435,9,10,83,15,10,8,100,13,30,3,0,435
565,12,12,55,0,13,-4,145,-11,-30,4,0,55
313,12,12,754,4,12,6,310,-8,-22,-3,0,313
247,1,6,685,10,8,-22,-3192,-103,-153,-3,0,247
698,0,6,215,17,14,-9,-507,-100,-130,3,0,698
76,9,13,567,12,12,-2,-107,-70,-70,-4,0,567
451,3,12,21,12,7,11,402,185,272,3,0,451
500,10,12,215,17,14,-12,-300,-106,-160,2,0,500
111,9,14,188,4,12,1,-5,21,107,-1,0,111
39,13,12,519,6,12,-7,-485,-115,-175,-3,0,519
129,17,12,303,17,7,1,110,4,20,-2,0,129
306,14,4,39,13,12,7,289,105,153,2,0,306
699,0,6,458,0,12,14,426,203,326,1,0,699
708,2,3,456,15,16,24,2880,236,330,1,1,708
102,8,13,304,14,4,11,339,185,302,-2,0,102
