Type 1_first,Type 2_first,Type 1_second,Type 2_second,Height_diff,Weight_diff,Experience_diff,Total_stats_diff,Generation_diff,Legendary_diff,Winner
17,7,9,5,49,1450,-50,10,-5,0,1
11,7,9,12,0,-150,46,-20,-4,0,1
17,7,14,12,5,600,-49,9,2,0,1
1,12,6,12,5,612,2,5,4,0,1
5,12,9,12,10,780,164,192,-1,0,1
0,13,13,10,11,1385,-9,-20,4,0,1
12,12,17,10,-2,-217,-69,-51,-2,0,1
14,12,15,12,-1,-145,15,75,1,0,1
17,7,9,12,8,222,-67,-60,1,0,1
9,12,15,5,-1,-1595,-25,-55,-3,-1,0
1,12,5,12,-11,-397,-103,-174,4,0,0
0,15,6,12,-11,-590,-63,-29,0,0,0
14,12,17,12,7,250,83,95,-3,0,1
9,16,9,12,-5,25,-107,-175,0,0,0
1,12,9,12,-22,-255,-82,-82,0,0,0
3,12,17,12,-131,-3560,60,23,1,0,1
16,12,17,11,-14,-990,-106,-175,4,0,0
17,12,12,12,-2,-60,-58,-20,-2,0,1
12,7,10,1,-4,-131,-5,-28,0,0,0
10,14,13,10,-8,-385,-167,-205,2,0,0
0,12,6,7,-13,-423,-110,-180,2,-1,0
17,7,6,12,0,370,-105,-153,-1,0,0
16,14,0,16,-5,690,0,0,2,0,0
1,16,1,12,-5,-168,-116,-185,3,0,0
14,4,8,12,-2,43,-19,-97,0,0,0
3,16,6,7,0,1555,66,36,-2,0,0
2,12,1,14,36,130,89,132,-5,0,1
15,17,17,12,-16,-1795,-190,-225,-1,-1,0
6,12,15,5,-14,-2538,-199,-271,-1,-1,0
0,16,17,12,-8,-612,-98,-115,0,-1,0
6,12,0,9,-7,-143,-163,-191,-1,0,0
17,12,12,7,2,108,-2,-10,-1,0,1
7,2,10,12,10,515,121,205,4,0,1
9,4,17,9,-9,-319,-63,-60,2,0,1
17,12,0,7,-8,-328,-15,-76,2,0,0
0,3,10,12,-6,-144,6,29,2,0,1
6,12,13,10,-9,-558,-165,-196,3,0,0
12,12,2,12,-5,-995,-95,-160,0,0,0
12,12,3,16,9,143,104,157,3,0,1
14,12,2,12,-5,-1025,-45,-100,-5,0,1
13,7,6,12,2,-300,-14,-70,-4,0,1
6,12,8,6,0,-45,-68,-61,-4,0,1
4,12,12,12,10,845,54,10,3,1,0
2,10,12,12,2,-50,-81,-90,-1,0,1
11,17,3,12,7,834,2,5,0,0,0
16,2,12,17,44,6515,162,270,0,1,1
17,7,15,17,60,2235,118,185,0,0,1
0,13,5,12,-5,-198,-98,-150,0,0,0
15,9,2,12,-30,73,-76,-65,2,0,0
16,10,0,7,84,3880,19,54,-1,0,0
13,1,9,13,4,470,-57,-15,0,0,1
5,12,17,10,-1,-110,-66,-44,0,0,1
12,12,12,4,0,145,-45,-20,3,0,1
10,12,17,12,3,119,-158,-190,-1,0,0
17,7,0,7,-3,-280,54,-70,2,0,0
9,13,16,15,8,-414,155,160,-2,0,1
6,12,6,5,-1,-365,-4,-13,-3,0,1
1,14,17,12,2,80,11,32,5,0,1
6,12,12,12,-1,-390,54,155,-1,0,1
0,6,15,7,-7,-302,-108,-155,4,0,0
12,7,8,1,4,-688,-108,-175,-3,0,0
15,0,5,12,7,487,112,190,2,0,1
6,10,6,7,-19,210,-145,-220,1,-1,0
12,14,9,13,10,361,95,135,1,0,1
6,12,11,7,-3,-25,-42,39,4,0,0
2,12,17,7,-5,-810,0,20,3,0,0
17,4,14,7,-1,180,40,-5,-3,0,0
17,12,14,12,13,212,112,195,-2,0,1
10,12,17,12,-3,-51,-9,-43,-4,0,0
0,13,13,12,-2,205,-111,-185,0,0,0
15,7,17,7,-51,-2030,-12,27,4,0,1
14,12,8,9,11,786,208,291,-2,0,1
15,0,14,12,-8,-731,-199,-245,-1,0,0
15,17,6,5,3,-150,27,77,-4,0,1
14,4,15,1,-4,-1536,-37,-82,1,0,1
3,16,17,12,-3,-14,25,125,-2,0,1
0,13,3,12,2,0,-157,-180,0,0,0
6,12,12,12,5,515,75,62,-4,0,0
0,7,3,12,-1,-346,6,-85,0,0,0
6,5,17,12,-2,-705,77,80,2,0,1
3,12,17,7,-9,-200,-24,-68,-2,0,0
14,12,1,7,10,350,147,120,0,0,0
0,12,0,16,-12,-741,-195,-387,1,0,0
4,12,10,12,9,335,153,163,0,0,1
13,12,0,7,4,180,15,44,-2,0,1
11,12,11,12,3,-815,93,100,0,1,0
13,1,11,17,-7,-684,-78,-81,1,0,1
14,12,13,12,-32,-647,104,142,3,1,0
0,5,12,12,1,-172,12,35,0,0,0
12,12,2,14,-14,450,-192,-210,1,-1,1
15,1,6,7,0,1420,9,20,1,-1,0
8,7,5,12,-2,-113,9,43,-1,0,1
1,12,12,12,11,450,200,250,0,1,1
12,12,6,7,-2,-25,-21,-59,-3,0,0
13,12,14,7,31,629,92,125,-4,0,1
13,12,2,10,-11,-750,-142,-235,-3,0,0
1,11,13,7,-7,-410,-62,-25,2,0,0
17,12,14,12,-3,-366,-11,-33,0,0,1
6,12,0,13,7,137,90,145,-4,0,1
0,12,0,10,10,495,122,234,-2,0,1
15,10,17,7,4,2350,154,150,-3,0,0
5,12,10,12,-1,-253,-79,-57,5,0,0
0,12,6,12,-4,-73,-85,-119,-4,0,0
17,12,3,12,1,133,-42,95,1,0,1
2,3,17,12,25,3398,243,366,1,1,1
12,7,15,4,8,307,-54,-121,-5,-1,1
0,6,3,12,3,43,-112,-165,4,0,0
14,4,12,12,11,409,68,48,-2,0,0
3,7,3,12,-5,-279,29,65,-4,1,1
0,13,16,8,7,80,1,2,-5,0,0
1,11,17,12,7,288,116,196,0,0,1
15,11,6,12,-8,-1728,-189,-218,4,-1,0
12,7,14,7,1,255,44,-11,-4,0,1
13,12,17,2,-6,-1220,-68,-40,-1,0,0
15,12,12,12,-27,-3230,-227,-295,-1,-1,0
9,12,17,12,15,1196,124,221,3,0,1
8,9,17,1,-14,-818,-99,-151,3,0,0
8,6,4,12,-3,-47,-5,-25,3,0,0
14,7,0,9,4,-155,30,85,4,0,1
14,12,0,16,-12,-822,-9,-20,-1,1,0
6,5,17,12,6,430,180,234,2,0,1
11,12,15,17,3,-51,123,219,-2,0,1
15,9,15,17,5,123,0,0,2,0,0
8,12,10,2,-2,-109,54,155,1,0,1
0,12,0,6,4,262,103,140,-4,0,1
6,10,4,12,17,2191,31,89,-3,0,0
0,7,0,13,-2,-301,52,35,-2,0,1
13,12,6,12,-12,-1680,-196,-255,-1,-1,0
12,7,0,12,-12,-533,-119,-222,5,0,0
17,12,5,1,-8,-970,-15,-45,-5,0,1
12,12,6,5,-12,-1458,-180,-238,-4,0,0
0,3,17,12,-2,-147,-19,-53,4,0,1
8,12,4,12,15,760,101,142,-1,0,1
10,7,12,7,17,405,127,248,3,0,1
1,7,8,7,46,1880,132,182,2,1,1
12,7,9,7,-16,-988,-99,-150,0,0,0
12,12,10,12,-26,-9160,-61,-135,1,-1,0
14,12,15,16,8,-5,70,50,-3,0,1
14,12,12,12,-2,-322,114,160,1,1,1
13,12,8,12,9,650,104,172,0,0,1
12,7,17,12,-1,-45,6,30,4,0,0
17,10,15,5,-5,-1850,-110,-150,-3,-1,0
5,14,12,12,3,95,-10,-30,0,0,1
5,12,17,13,-4,-150,-38,-110,4,0,0
12,7,6,7,-4,-140,-82,-120,-5,0,0
14,12,15,2,-14,-2095,-12,-34,-1,0,0
5,12,0,16,2,-778,-4,-10,0,0,1
0,17,12,12,-32,-4183,-248,-401,-1,-1,0
1,12,12,7,7,250,135,280,-2,0,1
17,12,17,7,0,40,9,46,2,0,0
0,7,11,12,1,-30,-60,-5,-3,0,1
12,7,15,2,-11,-2308,-120,-211,-5,0,1
5,12,2,12,8,322,95,135,-4,0,1
12,12,11,12,5,442,165,200,2,0,1
11,12,14,12,-9,-228,-81,-100,3,0,1
5,12,14,12,-10,-356,-259,-443,2,-1,0
9,13,10,12,5,-147,72,85,0,0,1
6,12,0,12,-3,95,-84,-134,-2,0,0
12,7,11,12,-20,-2450,-52,-127,0,0,1
11,12,17,12,4,886,-81,-101,0,0,0
2,14,0,16,5,-225,0,0,-2,1,1
12,12,6,7,-11,-260,-20,-45,3,-1,0
5,12,10,12,13,490,106,190,0,0,0
14,12,14,12,5,657,107,180,-2,0,1
0,13,3,8,7,297,-93,-135,-3,0,0
15,2,12,7,9,2292,24,79,4,0,1
17,12,6,14,-4,510,-175,-209,-5,0,0
14,4,10,12,3,-133,31,-52,1,0,1
5,12,0,12,3,100,21,105,-1,0,0
12,12,16,14,9,599,-45,-100,2,-1,0
0,12,12,12,2,-75,16,-35,0,0,0
13,2,0,12,15,790,133,294,0,0,1
14,12,8,13,-8,49,56,26,1,0,0
14,12,17,14,-6,-440,-2,-5,4,0,1
9,12,4,12,0,115,-97,-90,-5,0,0
12,12,15,7,-6,165,-8,-25,1,0,0
14,12,13,5,3,312,-3,-7,-3,0,0
9,13,10,1,-6,-818,-2,-4,-1,0,0
17,12,13,7,-12,-485,-94,-130,0,0,0
6,12,10,16,-3,-310,-117,-201,1,0,0
17,7,17,1,50,1950,-50,10,-5,0,0
12,7,11,10,1,-46,94,161,2,0,1
17,10,17,12,3,86,100,148,2,0,0
9,13,12,7,17,983,180,247,-5,0,1
6,14,9,13,5,260,98,129,5,0,1
17,2,14,12,11,1214,177,210,-1,0,1
2,7,15,14,-1,-1334,11,50,0,0,1
14,12,3,12,4,655,107,181,-3,0,1
9,12,3,12,-8,-608,49,10,1,0,1
15,17,15,17,-8,-845,-104,-145,-5,0,0
17,12,11,12,-2,-325,-99,-130,-3,0,0
6,5,12,12,2,230,86,94,3,0,0
10,1,12,7,9,808,115,179,1,0,1
11,12,17,12,-2,745,-93,-136,5,0,0
12,12,1,7,6,249,66,15,3,0,0
3,7,12,12,11,451,96,110,-4,1,0
8,12,12,7,3,5,9,44,2,0,0
2,12,17,12,-7,879,-23,-65,0,0,0
17,1,17,12,10,658,19,55,-1,0,1
15,10,1,12,10,2899,167,214,-4,0,0
17,12,9,12,1,29,7,34,-3,0,1
15,11,9,12,16,1945,-70,23,1,0,0
9,13,8,7,8,174,151,142,-3,0,0
9,13,14,12,-14,-744,-113,-203,3,0,0
1,12,15,11,2,253,198,238,-2,1,1
11,10,4,12,14,2810,-9,-22,-2,0,1
0,7,13,2,-6,-430,-7,-20,-2,0,0
9,12,12,4,6,250,79,228,4,0,1
1,12,9,12,-5,-209,-14,-69,-1,0,1
14,7,12,7,3,-230,10,28,1,0,0
1,6,12,12,1,-92,16,80,-2,0,1
9,10,6,12,11,2901,59,20,3,0,0
1,7,12,12,47,1980,180,320,3,1,1
3,12,1,14,-1,145,61,28,-4,0,0
3,12,11,12,-6,-4630,55,9,-2,0,1
17,10,12,7,11,730,102,185,-2,0,0
3,4,3,12,-6,-276,92,136,1,0,1
17,12,12,12,7,-50,16,45,2,0,0
11,17,16,14,-2,-3994,-31,-70,0,0,0
17,13,0,12,-3,-214,-85,-65,-3,0,0
4,12,3,12,-12,-610,-162,-169,4,0,0
14,12,9,12,0,-365,28,82,1,0,0
17,10,13,10,-10,-535,-185,-295,1,0,0
0,13,0,12,4,66,27,-19,-3,0,0
14,12,9,12,-14,-907,75,49,-2,1,1
9,5,17,15,8,1190,88,85,0,1,1
17,12,16,14,5,-1755,23,65,0,0,1
9,12,6,12,7,841,14,40,3,0,0
3,12,3,16,1,-21,77,80,3,0,1
13,5,13,0,5,324,106,160,0,0,1
0,9,11,12,-1,-32,1,5,0,0,0
17,12,11,10,-21,-2879,-23,-50,0,0,0
2,6,0,7,13,2785,126,165,1,1,0
0,12,5,12,-2,-251,-22,-110,0,0,0
12,12,10,12,-16,-2950,-137,-288,2,0,1
0,13,16,7,-12,-420,-113,-215,0,0,0
9,12,12,12,-3,-345,-7,-35,5,0,1
9,12,6,12,-6,-190,-111,-185,1,0,0
2,10,13,10,-6,-395,-167,-205,3,0,0
14,12,15,17,-10,-402,88,85,3,1,0
15,17,6,7,-15,-485,-190,-225,0,-1,0
0,13,12,7,2,64,-3,-14,-3,0,0
14,12,17,7,3,100,8,40,-2,0,1
2,12,9,12,2,1120,11,31,1,0,1
9,13,0,15,7,-15,77,80,-4,0,1
0,7,12,12,0,-410,97,161,4,0,1
14,12,6,17,-4,-1385,-130,-200,-5,-1,1
10,15,17,12,0,950,-66,-40,0,0,0
17,5,11,12,-2,-2025,62,30,-2,0,0
14,12,12,12,2,191,0,2,4,0,0
16,8,13,12,-12,-24,99,160,5,0,0
9,7,14,12,14,920,31,90,-2,0,1
17,10,6,12,-1,-65,-26,-77,-4,0,1
0,7,0,16,6,-97,-21,-60,-1,0,0
6,12,9,13,4,365,4,21,0,0,1
1,6,5,12,-6,-292,-76,-75,-3,0,0
12,10,15,12,-7,-2176,-84,-92,1,0,0
10,15,4,12,13,2728,-7,-17,-2,0,1
17,12,11,10,-17,-2680,-97,-125,0,0,0
12,12,10,12,-31,-9442,-242,-370,2,-1,0
0,8,17,9,3,-14,39,16,0,0,1
0,7,11,12,-17,-4995,-131,-270,-2,0,0
15,11,6,7,10,1345,-136,-13,5,0,0
15,12,9,12,4,222,-88,-100,0,0,0
17,15,6,7,-1,-110,10,-2,-4,0,1
12,12,4,12,13,931,123,245,3,0,1
6,7,12,7,35,1972,256,429,1,1,1
12,12,10,7,1,-315,82,50,2,0,1
6,12,17,10,-5,-539,-67,-37,2,0,1
9,13,0,12,-1,-184,-109,-177,-4,0,0
5,12,17,14,3,70,45,-15,4,0,1
9,12,3,12,-11,-300,-102,-157,1,0,0
1,6,9,13,4,96,10,50,-2,0,1
9,13,13,12,-11,76,174,227,3,0,1
5,12,10,12,4,130,-3,-15,0,0,0
17,12,17,14,-10,-670,-110,-182,2,0,1
5,12,11,12,-11,-4850,-110,-164,-1,0,1
0,7,3,12,9,296,79,101,-4,0,1
15,12,5,16,-8,-360,-128,-245,1,0,0
15,12,10,16,10,2196,54,7,0,0,0
6,7,9,13,5,176,111,181,5,0,1
8,12,10,7,-11,-381,-6,-15,0,0,1
0,12,0,13,-7,-211,-103,-182,5,0,0
12,12,17,1,-4,-150,-1,-5,2,0,1
12,12,4,12,5,112,62,29,-1,0,1
6,10,15,10,9,1150,24,70,2,0,1
2,14,6,12,3,-350,95,100,2,1,1
9,12,17,14,-9,-632,-4,-10,3,0,1
12,12,14,7,2,241,246,25,-4,0,0
6,7,9,13,10,536,124,190,0,1,1
17,12,0,13,0,-76,-12,75,1,0,1
17,12,10,8,-23,-3217,-103,-153,1,0,0
16,14,9,7,-1,6,220,350,1,1,1
17,7,17,4,6,565,-19,95,2,0,1
9,12,13,7,-12,-505,-100,-160,2,0,0
17,13,12,12,-4,-755,-72,-155,-2,0,0
0,7,9,7,-1,50,-1,-6,2,0,1
16,5,9,13,16,2446,197,260,4,1,1
5,12,16,14,3,-410,1,5,-3,0,1
17,15,12,12,-8,-495,-79,-175,2,0,0
8,12,0,3,6,4,23,116,-3,0,1
1,12,2,6,-25,-3175,-240,-350,0,-1,0
1,7,16,15,8,-205,113,180,2,0,1
17,12,0,7,2,189,-17,-9,-2,0,0
13,1,12,7,-7,-108,-56,-20,3,0,1
3,12,6,12,7,141,80,96,3,0,0
13,12,9,1,-4,-401,-88,-115,-2,0,0
13,17,13,2,-13,-742,-109,-174,0,0,0
17,16,9,13,10,776,175,212,3,0,1
9,12,0,12,-4,420,-33,-95,3,0,0
16,5,9,12,17,2398,197,262,1,1,1
0,9,15,9,-12,-550,-116,-210,-2,0,0
3,7,6,12,7,336,119,175,-1,1,1
15,11,17,12,7,137,10,54,3,0,1
11,12,12,7,-5,585,-118,-206,1,0,0
1,12,12,12,0,-110,75,215,1,0,0
17,11,17,12,9,1230,121,211,-1,0,1
12,12,12,12,-2,-283,-122,-225,-1,0,1
4,12,0,12,3,42,4,105,-1,0,1
12,7,9,12,-1,-54,6,30,-2,0,1
2,7,3,8,12,1023,116,160,-1,0,1
12,9,17,9,1,169,23,115,2,0,1
0,12,4,12,-1,49,-96,-275,-5,0,0
3,12,15,4,11,558,130,10,-4,0,1
17,12,17,5,7,1330,31,70,1,1,1
12,12,16,8,-3,96,-14,-70,-1,0,0
16,8,1,6,-6,-305,-18,-52,4,0,0
15,12,17,7,3,220,16,80,1,0,0
12,4,6,12,-8,-260,-136,-308,-2,0,0
12,12,17,12,5,268,473,155,1,0,0
0,7,3,12,-11,-521,-54,-120,-2,0,1
17,12,2,10,-15,-870,-211,-305,-3,0,0
10,12,17,12,-2,600,9,25,1,0,0
14,12,14,12,0,-70,-122,-215,-1,0,0
10,15,3,12,6,1108,-73,-60,-2,0,1
16,10,17,12,86,3905,116,196,0,0,0
1,2,17,12,-3,-727,-5,-25,4,0,0
2,7,12,12,1,314,107,135,1,0,1
3,12,9,4,5,127,72,85,-3,0,0
17,12,15,10,8,50,94,140,0,0,1
0,6,5,14,-2,-27,-72,-50,2,0,0
2,7,10,14,10,811,210,300,0,0,1
3,12,10,12,-27,-9202,-243,-375,2,-1,0
0,7,15,1,-1,-1505,-90,-85,2,0,1
14,4,2,3,-25,-3384,-266,-482,-2,-1,0
12,12,2,10,3,15,94,140,-1,0,0
6,5,14,12,3,935,98,128,4,0,1
17,5,10,2,-7,-280,-4,-10,-2,0,0
2,12,6,7,-6,-65,-111,-179,-1,0,0
1,12,0,12,4,96,27,135,4,0,1
14,12,3,12,6,159,79,85,2,0,0
12,7,16,14,1,1,-208,-290,0,-1,0
17,12,15,16,-1,-3047,-84,-25,2,0,1
11,12,2,12,-25,2400,21,60,2,0,1
9,14,8,6,-2,-105,-65,-45,-4,0,0
2,12,12,9,5,910,80,85,-2,0,0
10,15,17,12,20,2763,176,210,3,0,0
1,5,6,12,5,165,97,119,-1,0,0
14,12,17,12,3,115,120,205,1,0,1
10,8,12,9,9,2375,3,8,0,0,0
17,12,2,14,-14,-513,-154,-270,0,-1,0
10,12,12,7,15,2895,114,175,-1,0,0
16,14,12,7,10,5350,145,242,-2,0,1
5,12,6,12,11,680,80,95,-2,0,0
10,14,3,12,-9,-400,-170,-210,1,0,0
0,12,9,11,-3,-390,5,-129,-1,0,0
17,10,17,3,-5,55,-19,-55,1,0,1
12,12,0,6,-13,-452,-101,-130,-2,0,0
17,9,9,12,3,15,49,-10,-3,0,0
13,12,11,12,-16,-4947,-120,-212,-3,0,1
12,4,12,4,3,35,57,80,-2,0,0
3,16,16,4,1,30,-100,-145,-5,0,0
15,17,6,15,2,-200,22,85,-1,0,1
15,4,14,12,-2,-33,33,165,1,0,1
15,10,12,7,-1,522,-99,-130,-1,0,0
0,9,17,1,-6,-255,-31,-88,2,0,0
3,12,12,7,-1,41,-32,-91,-3,0,0
12,7,0,13,9,307,12,60,-1,0,1
14,7,8,12,-7,-201,-10,-30,2,0,1
12,12,9,12,1,-637,26,75,0,0,1
10,12,2,7,-63,-1915,-248,-390,0,-1,0
8,13,12,7,13,-17,92,154,0,0,0
15,10,0,13,7,1435,94,160,0,0,1
17,12,0,13,2,58,24,119,0,0,0
11,7,12,12,-9,-165,-29,-85,0,0,0
0,7,3,12,8,341,-64,-15,-2,0,0
16,4,15,17,-11,-930,-10,-30,0,0,1
14,7,9,5,-14,-880,-175,-210,-4,0,1
9,12,12,7,0,-74,-57,-32,1,0,0
14,12,15,10,-7,-1047,124,190,3,1,1
9,12,9,12,-1,-620,-55,30,-3,0,1
17,10,17,15,-4,-640,-39,-111,0,0,1
2,7,10,12,13,1018,217,335,2,0,1
0,12,12,7,-5,-164,-114,-206,1,0,0
6,12,11,12,15,1493,133,250,-4,0,1
15,12,12,12,-6,-225,-70,-80,2,0,0
12,12,17,10,11,383,566,330,0,0,0
5,12,2,10,7,297,99,155,-3,0,1
5,12,12,12,11,1261,165,195,-3,0,0
16,8,17,12,-4,-271,-8,-22,1,0,0
9,13,17,12,-2,-105,90,110,2,0,1
17,1,17,7,1,-322,95,123,-1,0,1
7,2,9,7,1,75,-1,-5,4,0,1
12,12,16,2,-49,-6791,-244,-370,0,-1,0
12,12,11,7,-7,-334,-107,-140,2,-1,0
16,15,12,9,-15,-325,-100,-145,-2,0,0
12,12,10,12,-6,-254,-103,-175,4,0,0
17,14,13,0,4,240,-3,-15,-3,0,0
1,7,9,10,-17,-3079,-155,-120,-2,0,1
12,7,6,10,-16,-2177,-107,-190,0,0,1
6,5,13,12,6,240,174,205,-1,0,1
0,7,11,12,-3,-2185,-90,-90,-1,0,1
3,12,3,12,-13,-507,-173,-220,0,0,1
0,9,8,9,-12,-656,-109,-189,-5,0,0
2,10,16,12,-12,-1845,-201,-280,1,-1,0
6,12,12,7,4,390,23,52,-1,0,0
17,12,4,12,0,-10,-42,-120,-5,0,0
1,12,12,12,-4,-95,-7,-20,0,0,0
17,13,1,12,-7,-356,-112,-175,-4,0,0
9,10,15,10,8,100,13,30,3,0,1
12,12,0,13,-4,145,-11,-30,4,0,0
12,12,4,12,6,310,-8,-22,-3,0,1
1,6,10,8,-22,-3192,-103,-153,-3,0,1
0,6,17,14,-9,-507,-100,-130,3,0,1
9,13,12,12,-2,-107,-70,-70,-4,0,0
3,12,12,7,11,402,185,272,3,0,1
10,12,17,14,-12,-300,-106,-160,2,0,1
9,14,4,12,1,-5,21,107,-1,0,1
13,12,6,12,-7,-485,-115,-175,-3,0,0
17,12,17,7,1,110,4,20,-2,0,1
14,4,13,12,7,289,105,153,2,0,1
0,6,0,12,14,426,203,326,1,0,1
2,3,15,16,24,2880,236,330,1,1,1
8,13,14,4,11,339,185,302,-2,0,1
11,17,11,10,4,330,8,40,1,0,0
5,16,17,10,5,260,42,120,1,0,1
3,7,12,12,-2,-194,40,208,1,0,1
3,12,12,4,5,235,142,315,-1,0,1
17,12,3,12,-4,-235,-153,-160,0,0,0
6,5,14,12,7,552,-115,-162,1,-1,0
12,7,6,12,1,181,-22,-63,0,0,0
6,12,9,12,-8,-133,-80,-95,1,0,0
0,12,9,13,3,49,4,21,0,0,1
14,12,1,12,3,-30,58,25,2,0,0
17,14,0,12,14,695,100,285,-1,0,1
17,12,0,15,4,85,-3,-7,3,0,1
5,14,16,15,-15,-3488,-183,-250,0,0,1
17,13,14,12,3,445,-92,-90,-2,0,1
0,7,4,12,8,281,24,67,1,0,1
9,12,10,8,-20,-3215,-20,-58,-3,0,0
12,12,12,12,-1,19,-2,-10,1,0,0
12,12,12,7,-5,28,-21,-58,-1,0,1
12,12,13,7,7,393,559,295,1,0,0
17,14,12,12,6,465,18,50,0,0,0
14,12,1,2,-1,7,77,90,0,0,0
1,2,9,12,5,284,5,15,2,0,0
16,14,8,13,-11,604,-82,-105,3,0,0
13,1,16,12,7,170,108,179,-1,0,0
9,5,13,12,-3,-173,73,56,1,0,0
6,10,5,12,5,1720,2,5,1,0,0
16,14,0,13,-7,20,-66,-60,-1,0,0
0,13,17,14,-7,-747,-130,-260,4,0,0
5,14,3,8,10,312,-10,-30,-1,0,0
9,1,12,7,-6,-128,-39,-102,1,0,0
6,12,14,12,-2,-501,-92,-105,-1,0,1
17,12,16,10,-81,-3750,-37,-105,0,0,1
6,12,17,12,13,1455,131,241,-1,0,1
4,12,1,6,24,2042,240,350,4,1,1
8,12,6,5,13,846,94,120,0,0,0
15,7,0,12,13,531,117,200,-4,0,1
17,15,15,17,8,735,102,140,4,0,0
17,12,9,16,0,-810,13,36,-4,0,0
17,1,14,12,-2,-116,-5,-23,2,0,1
0,9,12,12,1,23,86,143,-1,0,0
13,12,12,12,8,460,-78,-68,-1,0,0
12,7,17,10,-6,-215,-111,-204,2,0,1
9,13,1,7,5,109,61,0,-1,0,0
17,12,17,12,0,45,4,20,-4,0,0
11,8,13,2,-5,-549,-5,-14,-2,0,1
14,4,11,17,-3,-674,-47,-132,0,0,1
3,7,11,14,12,466,200,275,-1,1,1
0,13,5,12,-4,-210,-102,-160,-4,0,0
10,12,12,12,31,9450,255,433,-3,1,1
0,5,16,15,-6,-3060,-64,-30,-1,0,1
2,7,10,12,12,1650,121,175,0,0,1
12,12,13,12,4,310,86,100,0,0,1
1,12,9,12,-10,-785,-120,-201,-1,0,0
0,7,12,7,-5,-302,-126,-245,-3,0,0
2,7,17,12,18,2048,207,286,-3,0,1
17,1,12,14,0,-15,80,75,4,0,1
2,6,17,12,19,2947,206,180,-1,1,1
6,12,13,7,3,115,93,160,0,0,1
5,12,1,6,-8,-270,-105,-152,4,0,0
3,4,15,12,-7,-293,81,81,2,0,1
1,12,10,3,3,260,-18,-51,-2,0,1
16,2,17,7,48,6735,252,410,1,1,1
17,10,1,16,-1,-17,-26,-130,-3,0,0
13,1,5,12,8,335,114,195,3,0,1
5,12,5,12,5,302,89,105,-4,0,1
12,7,10,3,-3,-98,-103,-161,-2,0,0
0,7,0,7,6,178,99,180,0,0,0
17,12,12,12,0,10,8,40,-1,0,1
1,11,14,12,4,190,19,95,-3,0,1
14,7,5,7,44,1945,131,180,-4,1,0
17,4,1,12,-4,-185,26,-45,-1,0,0
0,7,17,12,-6,-944,57,-10,-1,0,1
3,12,13,12,3,25,14,40,4,0,0
12,12,17,12,0,-470,1,5,1,0,1
17,12,6,12,58,1526,128,233,-3,0,1
11,17,12,7,8,1356,114,172,-2,0,0
9,12,9,12,5,284,31,155,-4,0,1
13,0,9,12,-2,-230,-21,-105,3,0,1
11,10,12,7,-7,-294,-7,-10,1,0,0
11,12,9,12,9,542,186,260,1,0,1
3,16,17,12,0,-3,0,0,-3,0,1
