First_pokemon_id,Second_pokemon_id,Winner,Type 1_first,Type 2_first,HP_first,Attack_first,Defense_first,Sp. Atk_first,Sp. Def_first,Speed_first,Generation_first,Legendary_first,height_first,weight_first,base_experience_first,Type 1_second,Type 2_second,HP_second,Attack_second,Defense_second,Sp. Atk_second,Sp. Def_second,Speed_second,Generation_second,Legendary_second,height_second,weight_second,base_experience_second
569,115,115,1,12,41,50,37,50,37,66,5,0,4,101,56,5,12,50,120,53,35,110,87,1,0,15,498,159
231,172,172,0,15,20,10,230,10,230,5,2,0,6,205,177,6,12,78,84,78,109,85,100,2,0,17,795,240
71,440,71,14,12,55,50,45,135,95,120,1,0,15,480,225,17,12,64,66,68,81,76,50,4,0,8,230,142
659,610,610,9,16,44,50,91,24,86,10,5,0,6,188,61,9,12,70,60,75,110,75,90,5,0,11,163,168
570,557,557,1,12,64,88,50,88,50,106,5,0,11,375,156,9,12,75,75,95,75,95,113,5,0,33,630,238
451,352,451,3,12,80,120,79,95,79,70,4,0,14,420,235,17,12,170,90,45,90,45,60,3,0,145,3980,175
661,95,95,16,12,40,55,70,45,60,30,5,0,3,210,60,17,11,90,70,80,70,95,70,1,0,17,1200,166
130,319,130,17,12,30,45,55,70,55,85,1,0,8,345,68,12,12,84,71,43,71,43,48,3,0,10,405,126
579,612,612,12,7,50,55,50,36,30,43,5,0,3,21,53,10,1,50,72,35,35,35,65,5,0,7,152,58
376,37,37,10,14,40,40,55,40,70,55,3,0,5,215,60,13,10,90,92,87,75,85,76,1,0,13,600,227
343,159,159,0,12,65,73,55,47,75,85,3,0,7,177,151,6,7,90,100,90,125,85,90,1,1,20,600,261
509,574,574,17,7,45,20,50,60,120,50,4,0,10,650,69,6,12,75,98,63,98,63,101,5,0,10,280,174
486,229,229,16,14,67,89,116,79,116,33,4,0,13,1870,175,0,16,70,130,100,55,80,65,2,0,18,1180,175
686,213,213,1,16,45,85,70,40,40,60,5,0,5,102,68,1,12,95,65,110,60,130,65,2,0,10,270,184
304,386,386,14,4,28,25,25,45,35,40,3,0,4,66,40,8,12,44,75,35,63,33,45,3,0,6,23,59
514,732,732,3,16,70,70,115,130,90,60,4,0,12,1800,241,6,7,78,81,71,74,69,126,6,0,12,245,175
161,757,161,2,12,61,84,65,70,70,70,1,0,40,165,147,1,14,53,54,53,37,46,45,6,0,4,35,58
150,265,265,15,17,35,40,100,90,55,35,1,0,4,75,71,17,12,100,75,115,90,115,85,2,1,20,1870,261
436,701,701,6,12,44,58,44,58,44,61,4,0,5,62,62,15,5,91,129,90,72,90,108,5,1,19,2600,261
221,265,265,0,16,75,90,140,60,60,40,2,0,12,1258,163,17,12,100,75,115,90,115,85,2,1,20,1870,261
436,603,603,6,12,44,58,44,58,44,61,4,0,5,62,62,0,9,75,103,80,70,80,92,5,0,12,205,225
242,365,242,17,12,35,65,35,65,35,65,2,0,6,120,60,12,7,45,40,60,40,75,50,3,0,4,12,62
792,251,792,7,2,85,70,80,97,80,123,6,0,15,850,187,10,12,90,60,60,40,40,40,2,0,5,335,66
607,295,607,9,4,40,27,60,37,50,66,5,0,3,6,56,17,9,60,50,50,60,70,50,3,0,12,325,119
439,209,209,17,12,53,51,53,61,56,40,4,0,4,52,63,0,7,65,65,45,75,45,95,2,0,12,380,78
657,360,657,0,3,50,47,50,57,50,65,5,0,1,6,64,10,12,45,100,45,45,45,10,3,0,7,150,58
436,40,40,6,12,44,58,44,58,44,61,4,0,5,62,62,13,10,81,102,77,85,75,85,1,0,14,620,227
325,408,408,12,12,50,45,45,35,35,50,3,0,6,110,52,2,12,65,95,100,60,50,50,3,0,11,1105,147
472,89,472,12,12,75,100,66,60,66,115,4,0,12,203,169,3,16,25,35,70,95,55,45,1,0,3,60,65
71,777,71,14,12,55,50,45,135,95,120,1,0,15,480,225,2,12,90,100,70,110,150,80,6,0,20,1505,270
47,615,47,13,7,40,45,35,30,40,55,1,0,8,75,49,6,12,70,90,45,15,45,50,5,0,6,375,63
5,670,5,6,12,39,52,43,60,50,65,1,0,6,85,62,8,6,60,40,60,95,60,55,5,0,6,130,130
793,314,314,4,12,126,131,95,131,98,99,6,1,30,2150,306,12,12,150,160,100,95,65,100,3,0,20,1305,252
493,568,493,2,10,68,90,65,50,55,82,4,0,14,560,144,12,12,85,110,90,45,90,80,5,0,12,610,225
400,341,341,11,17,90,60,70,75,70,45,3,0,11,876,144,3,12,60,50,40,85,75,95,3,0,4,42,142
541,446,541,16,2,100,120,120,150,100,90,4,1,54,6830,306,12,17,79,85,60,55,60,71,4,0,10,315,144
141,152,141,17,7,95,125,79,60,100,81,1,0,65,2350,189,15,17,30,80,90,55,45,55,1,0,5,115,71
54,115,115,0,13,60,55,50,40,55,45,1,0,10,300,61,5,12,50,120,53,35,110,87,1,0,15,498,159
378,161,161,15,9,66,41,77,61,87,23,3,0,10,238,71,2,12,61,84,65,70,70,70,1,0,40,165,147
224,316,316,16,10,75,85,200,55,65,30,2,0,92,4000,179,0,7,61,90,45,50,50,160,3,0,8,120,160
503,453,503,13,1,70,90,110,60,75,95,4,0,13,615,175,9,13,60,70,65,125,105,90,4,0,9,145,232
600,598,600,5,12,75,125,75,30,75,85,5,0,14,510,163,17,10,105,95,75,85,75,74,5,0,15,620,229
445,45,445,12,12,59,45,40,35,40,31,4,0,5,200,50,12,4,115,45,20,45,25,20,1,0,5,55,95
360,548,548,10,12,45,100,45,45,45,10,3,0,7,150,58,17,12,80,80,80,80,80,80,4,0,4,31,216
303,133,133,17,7,60,50,100,85,70,65,3,0,12,280,154,0,7,70,110,80,55,80,105,1,0,15,560,100
51,331,51,9,13,75,80,85,110,90,50,1,0,12,186,221,16,15,50,70,100,40,40,30,3,0,4,600,66
171,559,171,6,12,58,64,58,80,65,80,2,0,9,190,142,6,5,90,93,55,70,55,55,5,0,10,555,146
758,129,758,1,14,86,92,88,68,75,73,6,0,15,470,169,17,12,80,92,65,65,80,68,1,0,13,390,158
6,255,6,6,12,58,64,58,80,65,80,1,0,11,190,142,12,12,55,20,35,20,45,75,2,0,12,580,88
698,154,154,0,6,55,85,55,50,55,60,5,0,11,288,72,15,7,80,105,65,60,75,130,1,0,18,590,180
92,491,491,12,7,35,85,45,35,35,75,1,0,14,392,62,8,1,50,92,108,92,108,35,4,0,10,1080,170
381,73,381,15,0,75,125,100,70,80,45,3,0,15,682,173,5,12,70,80,50,35,35,35,1,0,8,195,61
354,271,271,6,10,70,100,70,105,75,40,3,0,19,2200,161,6,7,106,130,90,110,154,90,2,1,38,1990,306
219,49,219,12,14,70,80,65,90,65,85,2,0,15,415,159,9,13,45,50,55,75,65,30,1,0,5,54,64
736,244,244,6,12,62,50,58,73,54,72,6,0,6,135,74,11,7,45,55,45,65,45,75,2,0,9,160,116
683,245,245,2,12,77,120,90,60,90,48,5,0,16,1390,170,17,7,65,40,70,80,140,70,2,0,21,2200,170
200,588,588,17,4,100,50,80,60,80,50,2,0,8,285,189,14,7,67,57,55,77,55,114,5,0,9,105,149
403,636,403,17,12,55,104,105,94,75,52,3,0,17,270,170,14,12,45,30,50,55,65,45,5,0,4,58,58
56,561,561,10,12,10,55,25,35,45,95,1,0,2,8,53,17,12,55,55,45,63,45,45,5,0,5,59,62
54,119,119,0,13,60,55,50,40,55,45,1,0,10,300,61,13,12,65,90,120,85,70,60,1,0,12,95,172
629,141,629,15,7,75,140,65,112,65,110,5,0,14,320,177,17,7,95,125,79,60,100,81,1,0,65,2350,189
547,779,547,14,12,120,70,120,75,130,85,4,0,15,856,270,8,9,43,70,48,50,60,38,6,0,4,70,62
380,547,547,15,0,45,95,50,40,50,75,3,0,7,125,71,14,12,120,70,120,75,130,85,4,0,15,856,270
153,559,153,15,17,60,115,105,65,70,80,1,0,13,405,173,6,5,90,93,55,70,55,55,5,0,10,555,146
306,268,306,14,4,68,65,65,125,115,80,3,0,16,484,233,15,1,100,134,110,95,100,61,2,0,20,2020,270
89,382,89,3,16,25,35,70,95,55,45,1,0,3,60,65,17,12,20,15,20,10,55,80,3,0,6,74,40
54,32,32,0,13,60,55,50,40,55,45,1,0,10,300,61,3,12,60,90,55,90,80,110,1,0,8,300,218
172,745,745,6,12,78,84,78,109,85,100,2,0,17,795,240,12,12,75,80,60,65,90,102,6,0,12,280,165
16,110,110,0,7,60,45,50,90,80,70,1,0,11,320,178,3,12,60,50,70,80,80,140,1,0,12,666,172
278,94,278,6,5,60,85,60,85,60,55,3,0,9,195,142,17,12,65,45,55,45,70,45,1,0,11,900,65
342,643,643,3,12,60,40,50,75,85,95,3,0,4,42,142,17,7,75,87,63,87,63,98,5,0,13,242,166
638,691,691,14,12,70,55,95,95,110,65,5,0,15,440,221,1,7,70,55,75,45,65,60,5,0,5,90,74
734,718,718,0,12,45,22,60,27,30,29,6,0,3,84,75,0,16,71,120,95,120,95,99,5,0,15,825,270
42,113,42,4,12,95,70,73,95,90,60,1,0,13,400,217,10,12,50,50,95,40,50,35,1,0,4,65,64
97,316,97,13,12,105,105,75,65,100,50,1,0,12,300,175,0,7,61,90,45,50,50,160,3,0,8,120,160
416,397,397,11,12,80,50,100,100,200,50,3,1,18,1750,261,11,12,80,80,80,80,80,80,3,0,15,2565,168
483,400,483,13,1,63,63,47,41,41,74,4,0,4,192,66,11,17,90,60,70,75,70,45,3,0,11,876,144
539,30,30,14,12,80,105,105,105,105,80,4,1,3,3,261,13,12,60,85,69,65,79,80,1,0,35,650,157
232,254,254,0,5,80,125,75,40,95,85,2,0,15,540,175,12,12,73,95,62,85,65,85,2,0,14,712,163
496,420,496,12,12,135,85,40,40,85,5,4,0,6,1050,78,2,14,80,90,80,130,110,110,3,1,20,600,270
268,159,159,15,1,100,134,110,95,100,61,2,0,20,2020,270,6,7,90,100,90,125,85,90,1,1,20,600,261
473,593,473,8,7,90,50,34,60,44,70,4,0,4,12,70,5,12,75,80,55,25,35,35,5,0,6,125,61
550,475,550,1,12,70,90,90,135,90,125,4,1,15,505,270,12,12,55,66,44,44,56,85,4,0,4,55,70
385,732,732,12,12,60,90,70,60,120,40,3,0,10,220,154,6,7,78,81,71,74,69,126,6,0,12,245,175
30,587,30,13,12,60,85,69,65,79,80,1,0,35,650,157,14,7,55,45,43,55,43,72,5,0,4,21,65
36,494,494,13,12,70,62,67,55,55,56,1,0,8,200,128,2,10,108,130,95,80,85,102,4,0,19,950,270
513,184,184,1,11,70,120,65,45,85,125,4,0,11,340,179,13,7,85,90,80,70,80,130,2,0,18,750,241
129,106,129,17,12,80,92,65,65,80,68,1,0,13,390,158,14,12,85,73,70,73,115,67,1,0,16,756,169
6,604,6,6,12,58,64,58,80,65,80,1,0,11,190,142,0,13,30,45,59,30,39,57,5,0,4,53,52
137,315,137,0,12,65,125,100,55,70,85,1,0,15,550,175,0,10,31,45,90,30,30,40,3,0,5,55,53
83,509,509,15,10,80,120,130,55,65,45,1,0,14,3000,223,17,7,45,20,50,60,120,50,4,0,10,650,69
743,57,57,5,12,67,82,62,46,48,43,6,0,6,80,70,10,12,35,80,50,50,70,120,1,0,7,333,149
220,723,723,0,12,50,65,90,35,35,15,2,0,6,72,58,6,12,59,59,58,90,70,73,6,0,10,145,143
764,665,764,17,12,71,73,88,120,89,59,6,0,13,353,100,3,12,65,85,70,75,70,40,5,0,12,220,142
708,439,708,2,3,100,150,120,120,100,90,5,1,29,3450,306,17,12,53,51,53,61,56,40,4,0,4,52,63
23,796,23,12,7,83,80,75,70,70,101,1,0,15,395,216,15,4,50,100,150,100,150,50,6,1,7,88,270
698,147,147,0,6,55,85,55,50,55,60,5,0,11,288,72,3,12,65,65,60,110,95,130,1,0,8,245,184
306,635,635,14,4,68,65,65,125,115,80,3,0,16,484,233,12,12,75,95,60,65,60,115,5,0,5,75,165
158,666,158,3,7,90,90,85,125,90,100,1,1,16,526,261,3,12,85,115,80,105,80,50,5,0,21,805,232
55,750,750,0,13,70,65,60,90,75,90,1,0,15,125,158,16,8,59,110,150,45,49,35,6,0,8,45,157
513,439,513,1,11,70,120,65,45,85,125,4,0,11,340,179,17,12,53,51,53,61,56,40,4,0,4,52,63
769,264,264,15,11,77,59,50,67,63,46,6,0,13,252,72,6,12,115,115,85,90,75,100,2,1,21,1980,261
23,623,23,12,7,83,80,75,70,70,101,1,0,15,395,216,14,7,72,58,80,103,80,97,5,0,14,140,172
97,250,250,13,12,105,105,75,65,100,50,1,0,12,300,175,17,2,75,95,95,95,95,85,2,0,18,1520,243
324,544,544,15,12,30,45,135,45,90,30,3,0,10,970,75,12,12,110,160,110,80,110,100,4,1,37,4200,302
517,10,517,9,12,100,100,125,110,50,50,4,0,20,1286,187,17,12,44,48,65,50,64,43,1,0,5,90,63
779,349,349,8,9,43,70,48,50,60,38,6,0,4,70,62,17,1,70,120,40,95,40,95,3,0,18,888,161
669,226,226,8,6,50,30,55,65,55,20,5,0,3,31,55,4,12,60,80,50,40,40,30,2,0,6,78,60
623,53,623,14,7,72,58,80,103,80,97,5,0,14,140,172,0,9,60,95,80,60,80,30,1,0,10,295,142
538,718,718,14,12,75,75,130,75,130,95,4,1,3,3,261,0,16,71,120,95,120,95,99,5,0,15,825,270
438,242,438,6,5,76,104,71,104,71,108,4,0,12,550,240,17,12,35,65,35,65,35,65,2,0,6,120,60
523,759,523,11,12,65,60,110,130,95,65,4,0,8,259,184,15,17,42,52,67,39,56,50,6,0,5,310,61
378,152,152,15,9,66,41,77,61,87,23,3,0,10,238,71,15,17,30,80,90,55,45,55,1,0,5,115,71
478,361,478,8,12,60,60,60,105,105,105,4,0,9,44,173,10,2,50,70,50,50,50,70,3,0,11,153,119
137,698,137,0,12,65,125,100,55,70,85,1,0,15,550,175,0,6,55,85,55,50,55,60,5,0,11,288,72
354,739,739,6,10,70,100,70,105,75,40,3,0,19,2200,161,4,12,54,45,47,75,98,52,6,0,2,9,130
291,605,291,0,7,60,70,50,100,50,65,3,0,10,284,178,0,13,40,55,99,40,79,47,5,0,12,585,126
96,264,264,13,12,80,80,50,40,50,25,1,0,9,300,65,6,12,115,115,85,90,75,100,2,1,21,1980,261
730,137,137,12,7,45,50,43,40,38,62,6,0,3,17,56,0,12,65,125,100,55,70,85,1,0,15,550,175
129,744,129,17,12,80,92,65,65,80,68,1,0,13,390,158,5,1,95,124,78,69,71,58,6,0,21,1360,173
58,560,560,12,12,40,45,35,40,40,90,1,0,4,42,58,6,5,110,123,65,100,65,65,5,0,16,1500,238
658,146,658,0,3,70,77,60,97,60,108,5,0,8,143,165,17,12,130,65,60,110,95,65,1,0,10,290,184
625,753,625,8,12,58,50,145,95,105,30,5,0,17,765,169,4,12,78,52,60,63,65,23,6,0,2,5,68
524,27,524,10,7,75,95,125,45,75,95,4,0,20,425,179,12,7,40,60,30,31,31,70,1,0,3,20,52
794,474,794,1,7,126,131,95,131,98,99,6,1,58,2030,306,8,7,150,80,44,90,54,80,4,0,12,150,174
365,391,391,12,7,45,40,60,40,75,50,3,0,4,12,62,9,7,99,68,83,72,87,51,3,0,20,1000,161
526,424,424,12,12,85,80,70,135,75,90,4,0,9,340,241,10,12,100,150,140,100,90,90,3,1,35,9500,302
70,456,70,14,12,40,35,30,120,70,105,1,0,13,565,140,15,16,30,42,118,42,88,30,4,0,5,570,70
540,288,540,14,12,75,125,70,125,70,115,4,1,3,3,261,12,12,78,70,61,50,61,100,3,0,5,325,147
347,389,347,13,12,100,73,83,73,83,55,3,0,17,800,163,8,12,20,40,90,30,90,25,3,0,8,150,59
689,128,128,12,7,70,83,50,37,50,60,5,0,5,105,70,17,12,45,67,60,35,50,63,1,0,6,150,64
211,701,701,17,10,95,85,85,65,65,35,2,0,14,750,151,15,5,91,129,90,72,90,108,5,1,19,2600,261
336,385,336,5,14,60,60,75,60,75,80,3,0,13,315,144,12,12,60,90,70,60,120,40,3,0,10,220,154
594,80,80,5,12,85,105,85,40,50,40,5,0,12,400,142,17,13,80,70,65,80,120,100,1,0,16,550,180
27,731,731,12,7,40,60,30,31,31,70,1,0,3,20,52,6,7,62,73,55,56,52,84,6,0,7,160,134
578,768,768,14,12,116,55,85,107,95,29,5,0,11,605,170,15,2,82,121,119,69,59,71,6,0,25,2700,182
257,221,257,5,12,50,95,95,35,110,70,2,0,14,480,159,0,16,75,90,140,60,60,40,2,0,12,1258,163
308,544,544,0,17,40,30,32,50,52,65,3,0,5,17,54,12,12,110,160,110,80,110,100,4,1,37,4200,302
213,442,213,1,12,95,65,110,60,130,65,2,0,10,270,184,12,7,40,55,30,30,30,60,4,0,3,20,49
575,302,302,17,12,50,53,48,53,48,64,5,0,6,135,63,17,7,40,30,30,55,30,85,3,0,6,95,54
209,645,209,0,7,65,65,45,75,45,95,2,0,12,380,78,11,12,51,65,65,80,75,59,5,0,11,410,138
92,768,92,12,7,35,85,45,35,35,75,1,0,14,392,62,15,2,82,121,119,69,59,71,6,0,25,2700,182
116,672,116,5,12,50,105,79,35,110,76,1,0,14,502,159,2,12,46,87,60,30,40,57,5,0,6,180,64
568,396,568,12,12,85,110,90,45,90,80,5,0,12,610,225,11,12,50,50,50,50,50,50,3,0,7,168,60
644,218,644,11,12,36,50,50,65,60,44,5,0,4,57,61,14,12,190,33,58,33,58,33,2,0,13,285,142
321,163,163,5,12,72,60,30,20,30,25,3,0,10,864,47,14,12,106,110,90,154,90,130,1,1,20,1220,306
51,57,51,9,13,75,80,85,110,90,50,1,0,12,186,221,10,12,35,80,50,50,70,120,1,0,7,333,149
237,448,448,6,12,40,40,40,70,40,20,2,0,7,350,50,0,12,77,85,51,55,51,65,4,0,10,255,134
580,676,580,12,7,62,77,62,50,42,65,5,0,6,150,125,11,12,95,110,80,70,80,50,5,0,26,2600,177
789,726,726,11,12,55,69,85,32,35,28,6,0,10,995,61,17,12,54,63,52,83,56,97,6,0,6,109,142
420,718,420,2,14,80,90,80,130,110,110,3,1,20,600,270,0,16,71,120,95,120,95,99,5,0,15,825,270
526,159,159,12,12,85,80,70,135,75,90,4,0,9,340,241,6,7,90,100,90,125,85,90,1,1,20,600,261
115,56,56,5,12,50,120,53,35,110,87,1,0,15,498,159,10,12,10,55,25,35,45,95,1,0,2,8,53
358,636,358,14,12,80,45,65,90,110,80,3,0,9,715,165,14,12,45,30,50,55,65,45,5,0,4,58,58
54,532,532,0,13,60,55,50,40,55,45,1,0,10,300,61,3,8,50,50,77,95,77,91,4,0,3,3,154
768,179,768,15,2,82,121,119,69,59,71,6,0,25,2700,182,12,7,100,50,50,76,96,70,2,0,16,408,158
94,724,724,17,12,65,45,55,45,70,45,1,0,11,900,65,6,14,75,69,72,114,100,104,6,0,15,390,240
305,251,305,14,4,38,35,35,65,55,50,3,0,8,202,97,10,12,90,60,60,40,40,40,2,0,5,335,66
593,733,733,5,12,75,80,55,25,35,35,5,0,6,125,61,0,12,38,35,40,27,25,35,6,0,3,25,40
568,428,428,12,12,85,110,90,45,90,80,5,0,12,610,225,16,14,100,100,100,100,100,100,3,1,3,11,270
290,287,287,0,12,50,35,55,25,25,15,3,0,6,100,72,12,12,38,30,41,30,41,60,3,0,4,175,56
762,733,762,13,2,65,75,90,97,123,44,6,0,18,815,173,0,12,38,35,40,27,25,35,6,0,3,25,40
217,100,100,14,12,48,72,48,72,48,48,2,0,5,50,118,8,13,30,35,30,100,35,80,1,0,13,1,62
668,87,668,14,12,75,75,75,125,95,40,5,0,10,345,170,17,14,95,75,110,100,80,30,1,0,16,785,172
123,771,771,9,12,65,55,115,100,40,60,1,0,10,350,87,4,12,95,65,65,110,130,60,6,0,10,235,184
261,154,154,12,12,95,80,105,40,70,100,2,0,12,755,172,15,7,80,105,65,60,75,130,1,0,18,590,180
106,505,505,14,12,85,73,70,73,115,67,1,0,16,756,169,13,5,83,106,65,86,65,85,4,0,13,444,172
453,614,614,9,13,60,70,65,125,105,90,4,0,9,145,232,10,1,95,117,80,65,70,92,5,0,15,963,234
107,48,48,17,12,30,105,90,25,25,50,1,0,4,65,65,13,7,75,80,70,65,75,90,1,0,16,550,159
722,590,590,6,12,40,45,40,62,60,60,6,0,4,94,61,10,16,110,135,60,50,65,88,5,0,7,404,178
141,727,727,17,7,95,125,79,60,100,81,1,0,65,2350,189,17,1,72,95,67,103,71,122,6,0,15,400,239
490,239,490,12,7,76,65,45,92,42,91,4,0,5,19,144,11,10,50,50,40,30,30,50,2,0,4,65,50
373,128,128,17,10,110,78,73,76,71,60,3,0,9,236,164,17,12,45,67,60,35,50,63,1,0,6,150,64
3,730,3,9,13,80,82,83,100,100,80,1,0,20,1000,236,12,7,45,50,43,40,38,62,6,0,3,17,56
724,2,724,6,14,75,69,72,114,100,104,6,0,15,390,240,9,13,60,62,63,80,80,60,1,0,10,130,142
250,357,250,17,2,75,95,95,95,95,85,2,0,18,1520,243,14,12,60,25,35,70,80,60,3,0,7,306,66
366,371,366,2,7,75,70,90,70,105,80,3,0,11,206,172,15,14,70,95,85,55,65,70,3,0,12,1540,161
358,765,358,14,12,80,45,65,90,110,80,3,0,9,715,165,3,12,44,38,33,61,43,70,6,0,5,60,58
